CellID,FirstSeenFrame,FirstSeenTime(s),CrossingFrame,CrossingTime(s),TotalDistance,DistanceToCross,DistanceAfterCross,AvgFrameDistance,MedianFrameDistance,FramesTracked,FramesMissed,Speed
53,923,30.77,990,33.00,487.50,399.50,88.00,5.87,6.00,84,41,176.20
54,931,31.03,991,33.03,473.50,393.00,80.50,6.58,7.00,73,41,197.29
55,932,31.07,984,32.80,483.50,399.50,84.04,7.43,8.00,68,84,131.86
56,934,31.13,996,33.20,487.00,398.00,89.00,6.32,6.00,78,41,189.74
57,935,31.17,987,32.90,486.50,392.50,94.00,7.48,8.00,66,41,224.54
58,935,31.17,986,32.87,466.00,398.50,67.50,7.77,8.00,61,41,233.00
59,937,31.23,997,33.23,478.51,393.00,85.57,6.45,7.00,77,67,140.74
60,937,31.23,995,33.17,485.00,392.00,93.00,6.74,7.00,73,41,202.08
61,939,31.30,1002,33.40,486.80,392.00,95.93,6.53,6.00,84,77,122.72
62,941,31.37,998,33.27,485.50,392.00,93.50,6.84,7.00,72,41,205.14
63,941,31.37,996,33.20,483.50,391.50,92.00,7.11,7.00,69,41,213.31
64,942,31.40,998,33.27,485.00,398.50,86.50,7.03,7.00,70,41,210.87
65,942,31.40,999,33.30,486.02,398.00,88.11,6.77,7.00,75,67,145.80
66,943,31.43,968,32.27,289.06,195.50,93.66,7.66,8.00,40,47,192.71
67,954,31.80,1012,33.73,477.52,398.00,79.63,6.78,7.00,72,57,164.66
68,957,31.90,1012,33.73,484.00,399.50,84.50,7.22,7.00,68,41,216.72
69,961,32.03,1015,33.83,484.50,399.50,85.00,7.34,7.00,67,41,220.23
70,961,32.03,1021,34.03,484.00,393.00,91.00,6.54,7.00,75,41,196.22
71,962,32.07,1027,34.23,458.50,399.00,59.50,6.28,6.00,76,41,183.40
72,963,32.10,1015,33.83,486.00,391.50,94.50,7.48,8.00,66,41,224.31
73,965,32.17,1024,34.13,484.20,392.00,93.14,6.68,7.00,75,41,196.30
75,969,32.30,1026,34.20,415.50,398.00,17.51,6.93,7.00,61,41,207.75
76,970,32.33,1027,34.23,450.00,397.50,52.50,7.11,7.00,66,41,207.69
77,970,32.33,1036,34.53,485.50,399.00,86.50,6.15,6.00,82,41,179.81
78,975,32.50,1026,34.20,483.50,399.50,84.00,7.80,8.00,63,41,233.95
79,976,32.53,1068,35.60,476.03,392.53,83.50,6.97,7.00,70,76,137.32
80,978,32.60,1028,34.27,483.50,399.50,84.00,7.93,8.00,62,41,237.79
81,981,32.70,1031,34.37,469.00,398.50,70.50,7.95,8.00,60,41,238.47
82,984,32.80,1034,34.47,486.50,398.50,88.00,7.85,8.00,63,41,235.40
83,988,32.93,1051,35.03,487.02,393.00,94.07,6.60,6.50,80,41,184.94
85,995,33.17,1092,36.40,484.14,391.54,92.69,6.18,6.00,81,74,128.53
86,998,33.27,1064,35.47,485.00,399.00,86.00,6.13,6.00,82,41,179.63
88,1005,33.50,1022,34.07,206.54,129.00,77.63,7.48,7.50,30,45,187.76
89,1009,33.63,1067,35.57,485.50,393.00,92.50,6.74,7.00,73,41,202.29
90,1010,33.67,1064,35.47,483.65,392.50,93.76,7.49,7.00,77,98,109.09
92,1011,33.70,1021,34.03,158.01,78.50,79.54,7.41,7.00,24,47,163.46
93,1012,33.73,1031,34.37,226.06,139.50,86.67,7.03,7.00,34,78,96.88
94,1016,33.87,1078,35.93,487.00,398.00,89.00,6.32,6.00,78,41,189.74
95,1016,33.87,1076,35.87,484.50,398.00,86.50,6.55,7.00,75,41,196.42
96,1020,34.00,1083,36.10,488.64,393.17,107.18,6.66,6.00,87,114,92.20
97,1023,34.10,1054,35.13,234.00,233.50,0.71,7.55,8.00,32,41,226.45
98,1025,34.17,1076,35.87,486.00,398.50,87.50,7.71,8.00,64,41,231.43
100,1028,34.27,1085,36.17,484.50,398.00,86.50,6.92,7.00,71,41,207.64
101,1030,34.33,1093,36.43,477.04,391.53,85.51,6.46,7.00,78,76,127.78
102,1030,34.33,1046,34.87,213.05,120.00,93.11,7.27,7.50,31,41,213.05
103,1031,34.37,1097,36.57,486.50,393.50,93.00,5.93,6.00,83,41,177.99
104,1031,34.37,1092,36.40,486.50,398.02,88.57,6.53,6.75,77,41,192.04
105,1032,34.40,1101,36.70,467.39,398.93,68.50,7.15,7.00,69,52,177.49
108,1038,34.60,1102,36.73,484.00,392.00,92.00,6.13,6.00,80,41,183.80
109,1039,34.63,1089,36.30,485.09,399.50,88.46,8.39,8.00,69,76,141.29
110,1044,34.80,1089,36.30,393.05,305.50,87.67,6.67,7.00,61,51,168.45
111,1047,34.90,1097,36.57,446.00,399.50,46.50,7.96,8.00,57,41,238.93
112,1050,35.00,1105,36.83,486.04,402.50,83.75,7.34,7.25,69,41,214.43
113,1051,35.03,1101,36.70,484.00,399.50,84.50,7.93,8.00,62,41,238.03
114,1053,35.10,1111,37.03,484.65,398.00,93.73,7.10,7.00,78,114,96.93
115,1054,35.13,1107,36.90,484.93,392.50,96.14,7.69,7.00,77,68,141.24
116,1054,35.13,1109,36.97,485.50,397.50,88.00,7.14,7.00,69,41,214.19
117,1066,35.53,1115,37.17,484.50,391.00,93.50,7.94,8.00,62,41,238.28
118,1070,35.67,1134,37.80,472.51,407.00,65.52,6.43,6.50,79,48,166.77
119,1070,35.67,1120,37.33,486.50,392.50,94.00,7.72,8.00,64,41,231.67
120,1070,35.67,1136,37.87,486.57,398.07,88.50,6.04,6.00,83,41,178.01
121,1073,35.77,1124,37.47,483.50,399.50,84.04,7.73,8.00,65,67,161.17
122,1074,35.80,1133,37.77,473.50,397.00,76.50,6.75,7.00,72,41,200.07
123,1077,35.90,1144,38.13,465.00,392.51,72.50,7.12,7.00,67,52,181.17
124,1078,35.93,1135,37.83,486.00,399.50,86.50,6.94,7.00,71,41,208.29
125,1079,35.97,1131,37.70,469.00,392.50,76.50,7.56,8.00,63,41,226.94
126,1080,36.00,1132,37.73,478.01,392.50,85.54,7.49,8.00,66,73,147.84
127,1083,36.10,1149,38.30,486.01,392.50,93.53,5.88,6.00,92,211,55.86
128,1083,36.10,1145,38.17,486.00,398.00,88.00,6.31,6.00,78,41,189.35
129,1084,36.13,1143,38.10,487.00,398.00,89.04,6.58,7.00,76,72,137.83
130,1087,36.23,1123,37.43,381.02,287.50,93.61,7.81,8.00,51,51,190.51
132,1090,36.33,1156,38.53,484.50,398.00,86.50,6.12,6.00,82,41,179.44
133,1091,36.37,1150,38.33,484.50,400.00,84.50,6.73,7.00,73,41,201.88
134,1094,36.47,1148,38.27,485.50,397.52,88.07,7.30,7.50,68,41,217.39
135,1095,36.50,1149,38.30,479.00,392.50,86.54,7.19,7.50,71,88,122.82
136,1099,36.63,1131,37.70,299.52,215.00,84.57,6.57,6.50,48,41,191.18
137,1099,36.63,1151,38.37,470.00,397.50,72.50,7.58,8.00,63,41,227.42
138,1100,36.67,1135,37.83,368.00,279.50,88.50,7.83,8.00,48,41,234.89
139,1100,36.67,1157,38.57,486.00,392.00,94.00,6.85,7.00,72,41,205.35
141,1104,36.80,1164,38.80,485.93,393.00,96.61,6.86,7.00,80,67,138.84
142,1104,36.80,1154,38.47,484.50,399.50,85.00,7.94,8.00,62,41,238.28
143,1108,36.93,1160,38.67,486.50,399.50,87.00,7.60,8.00,65,41,228.05
144,1108,36.93,1173,39.10,487.00,398.00,89.00,6.13,6.00,82,41,180.37
145,1111,37.03,1177,39.23,484.52,393.50,91.11,5.87,6.00,85,93,106.88
146,1111,37.03,1168,38.93,485.03,398.00,87.12,6.77,7.00,74,70,142.65
147,1112,37.07,1175,39.17,486.54,399.00,87.67,6.26,6.00,80,77,126.92
148,1115,37.17,1173,39.10,484.02,398.00,86.12,6.74,7.00,74,54,168.84
149,1118,37.27,1178,39.27,485.00,398.00,87.00,6.55,7.00,75,41,196.62
150,1125,37.50,1177,39.23,476.00,391.50,84.50,7.56,8.00,64,41,226.67
151,1127,37.57,1192,39.73,476.00,393.52,82.57,6.19,6.00,81,41,178.50
152,1127,37.57,1184,39.47,486.52,398.00,88.57,6.83,7.00,75,103,107.32
153,1127,37.57,1181,39.37,463.02,397.50,65.59,7.30,7.00,66,59,167.36
155,1131,37.70,1183,39.43,486.55,397.50,89.32,7.51,8.00,67,78,141.71
156,1136,37.87,1189,39.63,477.00,397.50,79.50,7.45,7.00,65,41,223.59
157,1138,37.93,1200,40.00,485.00,399.00,86.00,6.38,6.00,77,41,191.45
158,1138,37.93,1193,39.77,484.00,399.50,84.50,7.22,7.00,68,41,216.72
159,1139,37.97,1196,39.87,486.50,399.50,87.00,6.76,7.00,74,91,118.66
160,1139,37.97,1191,39.70,475.00,391.50,83.51,7.54,8.00,64,41,226.19
161,1141,38.03,1201,40.03,486.50,392.00,94.50,6.49,7.00,76,41,194.60
163,1141,38.03,1204,40.13,478.53,393.00,85.68,6.23,6.00,79,68,136.72
164,1141,38.03,1168,38.93,272.00,184.50,87.50,6.63,7.00,42,41,199.02
165,1143,38.10,1151,38.37,149.00,64.50,84.50,7.84,8.00,20,41,235.26
166,1144,38.13,1202,40.07,485.00,392.00,93.00,6.74,7.00,73,41,202.08
167,1151,38.37,1201,40.03,448.00,392.50,55.50,7.86,8.00,58,41,235.79
168,1154,38.47,1207,40.23,482.00,400.50,81.50,7.66,8.00,66,81,137.71
169,1154,38.47,1210,40.33,485.01,397.50,87.54,6.95,7.00,72,47,188.96
170,1154,38.47,1213,40.43,476.50,399.00,77.50,6.71,7.00,72,41,201.34
171,1156,38.53,1216,40.53,486.50,399.00,87.50,6.57,7.00,75,41,197.23
172,1161,38.70,1218,40.60,474.50,399.00,75.50,6.98,7.00,69,41,209.34
173,1163,38.77,1219,40.63,485.50,398.50,87.00,7.04,7.00,70,41,211.09
174,1166,38.87,1216,40.53,475.04,399.50,75.70,7.92,8.00,62,75,150.01
175,1168,38.93,1225,40.83,482.55,392.07,90.50,6.97,7.00,71,41,206.81
177,1172,39.07,1222,40.73,475.00,397.50,77.50,7.92,8.00,61,41,237.50
178,1172,39.07,1234,41.13,487.00,398.00,89.00,6.33,6.00,78,41,189.74
179,1175,39.17,1234,41.13,472.50,399.00,73.50,6.75,7.00,71,41,202.50
180,1175,39.17,1234,41.13,484.50,392.00,92.50,6.64,7.00,74,41,199.11
181,1179,39.30,1235,41.17,486.50,399.50,87.00,7.05,7.00,70,41,211.52
182,1180,39.33,1232,41.07,484.55,397.50,87.24,7.46,8.00,69,77,139.77
183,1182,39.40,1245,41.50,484.50,392.00,92.50,6.21,6.00,79,41,186.35
184,1183,39.43,1241,41.37,486.50,398.00,88.50,6.66,7.00,75,45,187.12
185,1184,39.47,1236,41.20,485.50,398.50,87.00,7.59,8.00,65,41,227.58
186,1184,39.47,1237,41.23,484.04,398.54,85.50,7.53,7.50,66,41,223.40
187,1187,39.57,1247,41.57,476.50,399.00,77.50,6.62,7.00,73,41,198.54
188,1187,39.57,1249,41.63,485.00,399.00,86.00,6.38,6.00,77,41,191.45
189,1187,39.57,1264,42.13,483.00,397.51,85.54,7.24,7.00,70,90,122.80
190,1189,39.63,1241,41.37,486.50,392.50,94.00,7.48,8.00,66,41,224.54
191,1190,39.67,1247,41.57,483.50,398.00,85.50,6.93,7.00,74,66,148.01
192,1193,39.77,1248,41.60,467.00,400.50,66.50,7.53,7.00,63,43,218.91
193,1193,39.77,1245,41.50,483.50,398.50,87.19,8.10,8.00,71,48,188.38
194,1196,39.87,1261,42.03,476.15,391.59,84.57,6.09,6.00,81,52,156.97
195,1196,39.87,1250,41.67,486.50,397.50,89.01,7.15,7.00,70,68,152.03
196,1196,39.87,1261,42.03,486.50,393.00,93.50,6.01,6.00,82,41,180.19
197,1197,39.90,1250,41.67,461.00,397.50,63.50,7.44,7.00,63,41,223.06
198,1198,39.93,1260,42.00,485.50,399.00,86.50,6.55,6.75,77,41,191.64
199,1199,39.97,1250,41.67,475.00,398.50,76.50,7.79,8.00,62,41,233.61
200,1200,40.00,1246,41.53,453.00,368.50,84.50,8.39,8.00,55,44,238.42
202,1208,40.27,1284,42.80,486.51,392.55,94.07,6.27,6.00,80,60,148.93
203,1209,40.30,1269,42.30,472.54,393.02,79.54,6.71,7.00,74,101,106.59
204,1209,40.30,1269,42.30,485.00,398.00,87.00,6.55,7.00,75,41,196.62
205,1213,40.43,1268,42.27,484.00,399.50,84.50,7.22,7.00,68,41,216.72
206,1216,40.53,1309,43.63,465.00,398.50,66.55,7.60,8.00,64,103,111.60
207,1219,40.63,1286,42.87,484.55,399.50,85.25,5.88,6.00,86,80,117.23
208,1219,40.63,1292,43.07,477.51,399.01,78.50,6.44,6.00,76,51,168.53
